,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers,year
0,Arizona Diamondbacks,"2,036,216","25,138",26.7,26.4,107,107,0,1,12,"$78,399,500 ",3:14,37,22,59%,Hale,2016
1,Atlanta Braves,"2,020,914","24,950",28.9,26.4,98,99,0,1,13,"$74,999,750 ",3:08,42,18,42%,González and Snitker,2016
2,Baltimore Orioles,"2,172,344","26,819",28.5,27.9,102,102,0,5,17,"$153,744,833 ",3:00,39,20,51%,Showalter,2016
3,Boston Red Sox,"2,955,434","36,487",28.5,29.0,106,106,1,6,18,"$218,682,750 ",3:12,46,20,43%,Farrell,2016
4,Chicago Cubs,"3,232,420","39,906",27.4,29.9,101,100,0,7,19,"$176,097,333 ",3:05,42,21,50%,Maddon,2016
5,Chicago White Sox,"1,746,293","21,559",28.3,28.6,96,96,0,2,16,"$113,416,000 ",3:03,39,20,51%,Ventura,2016
6,Cincinnati Reds,"1,894,085","23,384",27.8,27.1,101,102,0,2,10,"$77,329,561 ",3:04,51,25,49%,Price,2016
7,Cleveland Indians,"1,591,667","19,650",29.0,28.1,109,107,0,3,13,"$94,511,067 ",3:03,49,28,57%,Francona,2016
8,Colorado Rockies,"2,602,524","32,130",27.8,27.7,116,116,0,2,9,"$89,707,000 ",3:11,54,32,59%,Weiss,2016
9,Detroit Tigers,"2,493,859","31,173",30.0,29.0,100,101,0,1,15,"$199,902,000 ",3:05,34,19,55%,Ausmus,2016
10,Houston Astros,"2,306,623","28,477",26.4,28.9,94,93,0,2,13,"$89,498,000 ",3:04,37,16,43%,Hinch,2016
11,Kansas City Royals,"2,557,712","31,577",28.5,29.9,102,102,0,4,14,"$125,132,675 ",2:59,37,25,67%,Yost,2016
12,Los Angeles Angels,"3,016,142","37,236",28.5,28.4,95,95,0,1,9,"$139,712,000 ",3:04,38,21,55%,Scioscia,2016
